"Gender","Customer Type","Age","Type of Travel","Class","Flight Distance","Inflight wifi service","Departure/Arrival time convenient","Ease of Online booking","Gate location","Food and drink","Online boarding","Seat comfort","Inflight entertainment","On-board service","Leg room service","Baggage handling","Checkin service","Inflight service","Cleanliness","Departure Delay in Minutes","Arrival Delay in Minutes","satisfaction"
"Male","Loyal Customer",33,"Business travel","Eco Plus",757,"3","1","1","1","3","3","3","1","5","3","4","3","4","3",148,142,"neutral or dissatisfied"
"Female","Loyal Customer",36,"Personal Travel","Eco",125,"2","3","2","2","1","2","1","1","1","5","2","1","2","1",71,78,"neutral or dissatisfied"
"Female","Loyal Customer",54,"Personal Travel","Business",605,"3","4","3","2","3","5","4","5","5","3","5","4","5","4",0,0,"neutral or dissatisfied"
"Female","Loyal Customer",27,"Business travel","Business",2176,"1","5","5","5","1","1","1","1","3","3","4","1","3","1",47,50,"neutral or dissatisfied"
"Female","Loyal Customer",27,"Personal Travel","Eco",224,"3","4","3","4","1","3","1","1","4","5","5","4","5","1",0,0,"neutral or dissatisfied"
"Female","Loyal Customer",60,"Business travel","Business",466,"1","1","1","1","2","1","2","5","5","5","5","5","5","5",4,0,"satisfied"
"Male","Loyal Customer",57,"Business travel","Business",3285,"3","1","1","1","4","4","3","3","3","2","3","2","3","1",0,0,"neutral or dissatisfied"
"Female","Loyal Customer",46,"Business travel","Eco",1120,"3","3","3","3","4","3","4","3","3","3","3","1","3","1",2,0,"neutral or dissatisfied"
"Male","disloyal Customer",34,"Business travel","Eco",1464,"2","3","3","3","5","2","5","5","3","1","3","3","2","5",78,78,"neutral or dissatisfied"
"Female","Loyal Customer",41,"Personal Travel","Business",1947,"1","5","1","2","2","4","5","2","2","1","3","5","2","4",0,0,"neutral or dissatisfied"
"Female","Loyal Customer",22,"Personal Travel","Eco",596,"3","1","3","3","2","3","2","2","2","4","1","4","2","2",0,0,"neutral or dissatisfied"
"Male","Loyal Customer",16,"Business travel","Business",216,"4","4","4","4","5","5","3","5","4","3","4","1","2","5",0,0,"satisfied"
"Female","Loyal Customer",47,"Business travel","Business",461,"2","5","5","5","1","4","3","2","2","1","2","3","2","3",0,0,"neutral or dissatisfied"
"Male","disloyal Customer",23,"Business travel","Eco",296,"3","5","3","5","3","3","1","3","5","2","4","3","1","3",0,0,"neutral or dissatisfied"
"Female","Loyal Customer",41,"Business travel","Business",1452,"1","1","1","1","2","5","5","4","4","4","4","5","4","4",0,0,"satisfied"
"Male","disloyal Customer",49,"Business travel","Business",226,"1","1","1","2","1","1","1","1","4","2","5","5","5","1",0,0,"neutral or dissatisfied"
"Male","Loyal Customer",66,"Personal Travel","Eco",1723,"2","5","2","5","1","2","1","1","4","2","5","5","4","1",0,0,"neutral or dissatisfied"
"Female","Loyal Customer",28,"Personal Travel","Eco",331,"1","3","1","2","5","1","1","5","5","3","5","4","4","5",0,0,"neutral or dissatisfied"
"Female","disloyal Customer",24,"Business travel","Eco Plus",689,"4","0","3","2","2","3","2","2","4","2","2","1","2","2",0,0,"neutral or dissatisfied"
"Female","Loyal Customer",50,"Business travel","Eco",794,"3","3","3","3","4","3","3","3","3","3","3","2","3","2",94,79,"neutral or dissatisfied"
"Female","Loyal Customer",53,"Personal Travel","Eco",507,"1","3","1","4","3","3","3","1","1","1","2","4","1","5",0,0,"neutral or dissatisfied"
"Female","Loyal Customer",41,"Business travel","Business",738,"3","5","5","5","3","3","3","3","3","3","3","1","3","4",7,0,"neutral or dissatisfied"
"Female","disloyal Customer",34,"Business travel","Business",760,"2","2","2","4","3","2","2","3","3","5","4","5","5","3",95,71,"neutral or dissatisfied"
"Male","Loyal Customer",28,"Personal Travel","Eco",972,"1","5","1","1","2","1","2","2","3","3","4","4","4","2",0,0,"neutral or dissatisfied"
"Male","Loyal Customer",32,"Business travel","Eco",910,"1","1","1","1","1","1","1","1","1","1","4","4","3","1",0,0,"neutral or dissatisfied"
"Female","Loyal Customer",15,"Personal Travel","Eco",1449,"4","4","3","2","3","3","3","3","2","5","3","3","4","3",137,112,"neutral or dissatisfied"
"Male","Loyal Customer",47,"Personal Travel","Eco",1166,"4","5","4","5","4","4","4","4","5","3","3","5","5","4",0,0,"neutral or dissatisfied"
"Female","Loyal Customer",49,"Business travel","Eco Plus",1009,"3","2","2","2","5","4","3","4","4","3","4","2","4","1",7,14,"neutral or dissatisfied"
"Male","Loyal Customer",47,"Business travel","Business",1961,"2","3","2","2","2","5","5","4","4","4","4","4","4","4",55,41,"satisfied"
"Female","Loyal Customer",38,"Business travel","Business",1744,"5","5","5","5","2","3","5","5","5","5","5","4","5","3",28,16,"satisfied"
"Female","Loyal Customer",32,"Personal Travel","Eco",1205,"2","2","2","2","3","2","3","3","2","5","3","4","3","3",0,0,"neutral or dissatisfied"
"Male","Loyal Customer",54,"Personal Travel","Eco",814,"4","2","4","3","4","4","4","4","2","2","4","2","3","4",0,16,"neutral or dissatisfied"
"Male","Loyal Customer",29,"Business travel","Business",2208,"2","3","3","3","2","2","2","2","2","2","3","2","3","2",0,10,"neutral or dissatisfied"
"Female","Loyal Customer",24,"Business travel","Eco",319,"3","2","2","2","3","4","4","3","1","5","2","1","1","3",0,0,"satisfied"
"Male","disloyal Customer",23,"Business travel","Eco",164,"2","0","2","4","3","2","3","3","4","3","2","5","4","3",17,15,"neutral or dissatisfied"
"Male","Loyal Customer",28,"Business travel","Eco Plus",2153,"2","2","2","2","2","2","2","2","3","4","2","4","3","2",0,0,"neutral or dissatisfied"
"Female","Loyal Customer",49,"Business travel","Eco",233,"4","2","2","2","2","2","1","4","4","4","4","4","4","4",28,23,"neutral or dissatisfied"
"Female","Loyal Customer",23,"Personal Travel","Eco",479,"1","3","1","4","1","1","1","1","2","2","4","2","3","1",50,40,"neutral or dissatisfied"
"Male","Loyal Customer",41,"Business travel","Business",430,"1","1","1","1","3","4","4","5","5","5","5","5","5","4",64,67,"satisfied"
"Female","disloyal Customer",37,"Business travel","Business",187,"3","3","3","2","5","3","5","5","1","1","3","2","3","5",14,7,"neutral or dissatisfied"
"Male","Loyal Customer",69,"Business travel","Eco Plus",239,"3","4","4","4","3","3","3","3","3","4","3","4","2","3",18,1,"satisfied"
"Female","Loyal Customer",50,"Business travel","Business",1930,"1","4","2","4","1","4","4","1","1","1","1","4","1","1",0,0,"neutral or dissatisfied"
"Male","disloyal Customer",28,"Business travel","Business",500,"1","1","1","1","4","1","4","4","3","2","5","5","5","4",0,0,"neutral or dissatisfied"
"Female","Loyal Customer",42,"Business travel","Business",3828,"2","2","2","2","4","5","5","4","4","4","4","3","4","3",0,0,"satisfied"
"Male","Loyal Customer",30,"Business travel","Business",2835,"2","2","2","2","5","5","4","5","4","3","5","5","5","5",16,22,"satisfied"
"Male","Loyal Customer",35,"Business travel","Business",1529,"2","2","2","2","4","5","5","4","4","4","4","3","4","3",17,16,"satisfied"
"Male","Loyal Customer",7,"Personal Travel","Eco",468,"1","5","1","4","5","1","5","5","5","3","5","5","5","5",1,0,"neutral or dissatisfied"
"Female","Loyal Customer",34,"Business travel","Business",1813,"3","3","3","3","4","4","4","4","4","4","4","5","4","4",0,0,"satisfied"
"Male","disloyal Customer",39,"Business travel","Eco",308,"4","1","4","4","2","4","2","2","2","4","3","4","4","2",40,38,"neutral or dissatisfied"
"Male","disloyal Customer",23,"Business travel","Business",1165,"4","0","4","2","1","4","1","1","3","2","5","4","5","1",79,63,"satisfied"
"Female","Loyal Customer",9,"Business travel","Business",3787,"2","1","1","1","2","2","2","2","3","1","4","2","4","2",0,0,"neutral or dissatisfied"
"Female","Loyal Customer",39,"Personal Travel","Eco",544,"2","3","2","2","3","2","5","3","1","1","3","4","1","3",0,30,"neutral or dissatisfied"
"Male","Loyal Customer",69,"Personal Travel","Eco",273,"4","2","4","3","2","4","2","2","3","3","3","1","2","2",0,0,"neutral or dissatisfied"
"Male","Loyal Customer",44,"Business travel","Business",391,"2","2","2","2","2","4","5","4","4","4","4","3","4","3",2,0,"satisfied"
"Male","Loyal Customer",35,"Business travel","Business",3526,"2","2","2","2","2","2","2","1","3","2","2","2","4","2",178,190,"neutral or dissatisfied"
"Female","Loyal Customer",63,"Business travel","Business",199,"1","2","2","2","4","3","4","1","1","1","1","2","1","3",37,20,"neutral or dissatisfied"
"Male","Loyal Customer",11,"Personal Travel","Eco",294,"1","4","1","3","3","1","3","3","4","5","4","4","4","3",0,0,"neutral or dissatisfied"
"Male","Loyal Customer",69,"Personal Travel","Eco",700,"3","5","3","2","5","3","5","5","4","4","2","5","1","5",0,0,"neutral or dissatisfied"
"Female","Loyal Customer",9,"Business travel","Business",1488,"2","2","2","2","2","2","2","2","2","2","3","4","4","2",8,15,"neutral or dissatisfied"
"Female","disloyal Customer",22,"Business travel","Business",140,"5","0","5","1","5","5","4","5","4","2","5","4","4","5",0,5,"satisfied"
"Male","disloyal Customer",25,"Business travel","Eco",836,"2","2","2","3","5","2","5","5","3","2","5","4","1","5",2,0,"neutral or dissatisfied"
"Male","Loyal Customer",50,"Personal Travel","Eco",1590,"2","5","2","4","5","2","5","5","5","2","5","4","1","5",0,4,"neutral or dissatisfied"
"Male","Loyal Customer",45,"Business travel","Business",1788,"3","3","3","3","1","1","5","5","5","5","5","1","5","2",99,94,"satisfied"
"Male","Loyal Customer",23,"Business travel","Business",2805,"1","4","4","4","1","1","1","1","3","3","3","1","3","1",0,0,"neutral or dissatisfied"
"Female","Loyal Customer",42,"Business travel","Eco",1242,"1","1","1","1","2","3","3","1","1","1","1","2","1","1",0,0,"neutral or dissatisfied"
"Male","disloyal Customer",24,"Business travel","Eco",125,"0","4","0","5","0","5","5","2","5","3","5","5","3","5",185,197,"satisfied"
"Female","Loyal Customer",46,"Business travel","Eco Plus",329,"3","3","3","3","3","3","3","2","2","3","3","3","4","3",293,282,"neutral or dissatisfied"
"Female","Loyal Customer",42,"Business travel","Business",2367,"3","3","3","3","3","3","5","4","4","4","4","3","4","3",26,3,"satisfied"
"Female","disloyal Customer",23,"Business travel","Eco",674,"3","3","3","4","1","3","1","1","5","3","4","3","5","1",4,27,"neutral or dissatisfied"
"Male","Loyal Customer",10,"Personal Travel","Eco",822,"0","5","1","4","5","1","4","5","3","3","5","3","5","5",0,0,"satisfied"
"Female","Loyal Customer",47,"Business travel","Business",2886,"4","4","4","4","3","4","4","5","5","5","5","5","5","3",0,0,"satisfied"
"Female","Loyal Customer",49,"Business travel","Business",2974,"2","2","2","2","5","4","4","4","4","4","4","3","4","4",4,0,"satisfied"
"Female","Loyal Customer",58,"Personal Travel","Eco",2296,"3","5","3","3","5","4","5","2","2","3","2","3","2","3",0,11,"neutral or dissatisfied"
"Female","Loyal Customer",59,"Business travel","Business",2070,"4","4","4","4","4","4","5","5","5","5","5","4","5","5",0,0,"satisfied"
"Female","Loyal Customer",44,"Business travel","Eco",441,"3","1","1","1","5","2","3","3","3","3","3","2","3","4",0,0,"neutral or dissatisfied"
"Male","Loyal Customer",22,"Business travel","Eco",641,"4","3","3","3","4","4","3","4","3","2","3","4","3","4",0,0,"neutral or dissatisfied"
"Male","disloyal Customer",22,"Business travel","Business",515,"4","3","4","4","5","4","5","5","3","4","4","5","4","5",11,0,"satisfied"
"Male","Loyal Customer",57,"Personal Travel","Eco",765,"1","4","1","3","2","1","2","2","5","4","5","4","5","2",0,0,"neutral or dissatisfied"
"Female","Loyal Customer",22,"Business travel","Business",3408,"1","1","1","1","5","5","5","5","3","3","5","4","4","5",0,0,"satisfied"
"Male","Loyal Customer",41,"Business travel","Business",1514,"4","4","4","4","2","5","5","4","4","4","4","4","4","4",31,27,"satisfied"
"Male","Loyal Customer",41,"Business travel","Business",644,"4","4","4","4","4","4","4","4","4","4","4","3","4","4",0,0,"satisfied"
"Male","Loyal Customer",35,"Business travel","Eco",1795,"2","3","3","3","2","2","2","2","2","2","3","4","5","2",26,0,"satisfied"
"Female","Loyal Customer",29,"Business travel","Business",2616,"1","5","5","5","1","1","1","1","3","5","4","3","4","1",0,0,"neutral or dissatisfied"
"Female","Loyal Customer",53,"Business travel","Business",212,"5","5","5","5","2","3","1","4","4","4","3","4","4","1",0,0,"satisfied"
"Male","Loyal Customer",12,"Personal Travel","Eco",925,"0","5","0","3","5","0","5","5","3","3","5","3","5","5",13,6,"satisfied"
"Female","disloyal Customer",43,"Business travel","Eco",552,"3","4","3","5","4","3","4","4","2","1","3","2","2","4",35,25,"neutral or dissatisfied"
"Female","disloyal Customer",22,"Business travel","Eco",109,"1","0","1","5","3","1","3","3","1","1","5","3","5","3",0,0,"neutral or dissatisfied"
"Male","Loyal Customer",67,"Personal Travel","Eco",626,"3","5","3","2","3","3","4","3","4","3","4","5","5","3",0,0,"neutral or dissatisfied"
"Female","Loyal Customer",13,"Personal Travel","Eco",569,"2","3","2","3","1","2","1","1","5","2","2","1","4","1",59,62,"neutral or dissatisfied"
"Female","Loyal Customer",28,"Business travel","Business",2033,"2","4","4","4","2","2","2","2","2","1","4","2","3","2",0,0,"neutral or dissatisfied"
"Male","Loyal Customer",55,"Business travel","Eco",733,"1","4","4","4","2","1","2","2","3","3","3","4","3","2",16,6,"neutral or dissatisfied"
"Female","disloyal Customer",38,"Business travel","Business",297,"3","3","3","4","5","3","5","5","4","5","3","2","4","5",0,2,"neutral or dissatisfied"
"Male","disloyal Customer",49,"Business travel","Eco",1102,"4","4","4","1","1","4","1","1","4","4","1","4","1","1",56,43,"neutral or dissatisfied"
"Female","Loyal Customer",45,"Business travel","Business",3137,"4","4","4","4","2","5","5","5","5","5","5","4","5","3",9,0,"satisfied"
"Female","Loyal Customer",62,"Business travel","Business",1538,"2","2","2","2","2","3","3","5","5","5","5","5","5","5",0,0,"satisfied"
"Male","disloyal Customer",40,"Business travel","Business",259,"4","4","4","2","2","4","2","2","5","2","4","3","5","2",0,0,"neutral or dissatisfied"
"Female","disloyal Customer",25,"Business travel","Eco",802,"1","2","2","1","4","2","3","4","1","2","2","5","2","4",0,0,"neutral or dissatisfied"
"Female","Loyal Customer",28,"Business travel","Eco Plus",253,"3","5","4","5","3","3","3","3","1","5","4","2","4","3",14,7,"neutral or dissatisfied"
"Female","Loyal Customer",53,"Business travel","Business",1582,"2","2","2","2","5","5","4","5","5","5","5","4","5","5",0,0,"satisfied"
"Male","Loyal Customer",23,"Personal Travel","Eco",2704,"1","1","1","3","2","1","2","2","1","3","4","4","4","2",0,NA,"neutral or dissatisfied"
"Female","Loyal Customer",32,"Business travel","Business",427,"3","5","5","5","3","3","3","3","3","3","2","2","2","3",0,0,"neutral or dissatisfied"
"Female","Loyal Customer",53,"Business travel","Business",1055,"1","1","5","1","5","4","4","5","5","5","5","5","5","3",0,0,"satisfied"
"Male","disloyal Customer",25,"Business travel","Business",361,"5","0","4","5","1","4","1","1","4","5","4","3","5","1",7,8,"satisfied"
"Female","disloyal Customer",23,"Business travel","Eco",620,"3","1","3","2","4","3","4","4","1","3","1","1","1","4",0,8,"neutral or dissatisfied"
"Female","Loyal Customer",24,"Business travel","Eco",447,"5","5","5","5","5","5","3","5","2","1","3","5","3","5",43,44,"satisfied"
"Female","Loyal Customer",34,"Business travel","Business",3389,"1","1","1","1","3","5","5","5","5","5","5","5","5","5",40,24,"satisfied"
"Female","Loyal Customer",24,"Personal Travel","Eco",852,"1","5","1","3","3","1","3","3","4","4","5","3","4","3",0,6,"neutral or dissatisfied"
"Female","Loyal Customer",40,"Business travel","Business",678,"2","2","2","2","3","4","5","4","4","4","4","4","4","3",0,0,"satisfied"
"Male","Loyal Customer",12,"Personal Travel","Eco",964,"4","5","4","5","2","4","2","2","3","4","5","3","5","2",18,0,"neutral or dissatisfied"
"Female","Loyal Customer",55,"Personal Travel","Eco",328,"3","0","3","4","2","5","5","2","2","3","2","4","2","4",0,0,"neutral or dissatisfied"
"Male","Loyal Customer",46,"Personal Travel","Eco",1874,"4","4","4","4","2","4","2","2","2","4","3","1","4","2",3,0,"neutral or dissatisfied"
"Female","Loyal Customer",42,"Personal Travel","Eco Plus",472,"2","3","2","3","3","2","2","2","2","2","2","4","2","3",29,20,"neutral or dissatisfied"
"Male","Loyal Customer",39,"Business travel","Business",2180,"2","2","2","2","2","5","4","5","5","5","5","2","5","1",0,0,"satisfied"
"Female","Loyal Customer",38,"Business travel","Business",2005,"2","3","3","3","3","4","4","2","2","2","2","2","2","4",38,80,"neutral or dissatisfied"
"Male","Loyal Customer",31,"Personal Travel","Eco",229,"2","4","2","1","1","2","1","1","5","3","5","3","5","1",24,16,"neutral or dissatisfied"
"Female","Loyal Customer",51,"Business travel","Business",1738,"3","3","3","3","3","5","5","5","5","5","5","5","5","4",0,0,"satisfied"
"Male","Loyal Customer",18,"Personal Travel","Eco",721,"3","0","3","3","2","3","2","2","2","2","2","1","4","2",0,0,"neutral or dissatisfied"
"Male","Loyal Customer",66,"Personal Travel","Eco",606,"4","5","4","3","4","4","4","4","4","2","5","5","5","4",90,76,"neutral or dissatisfied"
"Male","Loyal Customer",38,"Business travel","Business",3053,"1","1","1","1","4","5","2","4","4","4","4","4","4","2",18,0,"satisfied"
"Male","Loyal Customer",31,"Business travel","Business",247,"2","4","2","2","5","5","5","5","4","4","5","3","5","5",0,6,"satisfied"
"Male","Loyal Customer",25,"Business travel","Business",948,"3","3","3","3","4","4","4","4","3","1","3","2","4","4",11,0,"satisfied"
"Male","Loyal Customer",58,"Business travel","Business",2603,"4","5","4","4","5","5","4","4","4","4","4","4","4","4",0,0,"satisfied"
"Female","disloyal Customer",31,"Business travel","Eco",1123,"2","2","2","3","1","2","1","1","2","2","4","2","4","1",0,0,"neutral or dissatisfied"
"Male","Loyal Customer",29,"Business travel","Business",2510,"4","4","4","4","4","4","4","4","3","2","5","3","5","4",2,0,"satisfied"
"Female","Loyal Customer",44,"Personal Travel","Business",495,"2","4","2","4","2","5","4","1","1","2","1","5","1","5",0,0,"neutral or dissatisfied"
"Female","Loyal Customer",19,"Business travel","Business",2274,"1","1","4","1","5","5","5","5","3","4","5","5","4","5",0,0,"satisfied"
"Female","Loyal Customer",41,"Business travel","Business",258,"4","4","4","4","4","5","5","5","5","5","5","4","5","3",0,0,"satisfied"
"Male","disloyal Customer",34,"Business travel","Business",3784,"3","3","3","3","3","1","1","3","5","3","4","1","4","1",239,226,"neutral or dissatisfied"
"Female","Loyal Customer",58,"Business travel","Business",139,"4","4","4","4","1","1","4","4","4","4","4","4","4","3",24,23,"satisfied"
"Female","Loyal Customer",59,"Business travel","Business",2205,"3","3","3","3","2","4","5","5","5","4","5","4","5","4",5,0,"satisfied"
"Female","Loyal Customer",26,"Business travel","Business",612,"5","5","5","5","5","5","5","5","5","2","5","4","4","5",0,0,"satisfied"
"Female","Loyal Customer",48,"Business travel","Business",2795,"3","3","3","3","5","3","4","3","3","3","3","1","3","4",0,3,"neutral or dissatisfied"
"Female","Loyal Customer",21,"Personal Travel","Eco",1084,"3","5","3","4","4","3","4","4","5","5","4","3","5","4",5,11,"neutral or dissatisfied"
"Male","Loyal Customer",43,"Business travel","Business",3528,"3","4","4","4","2","3","3","3","5","3","4","3","2","3",138,129,"neutral or dissatisfied"
"Female","Loyal Customer",11,"Personal Travel","Eco",977,"1","4","1","4","3","1","3","3","3","5","5","3","4","3",0,13,"neutral or dissatisfied"
"Male","Loyal Customer",59,"Business travel","Business",2334,"1","1","1","1","4","5","4","5","5","5","5","3","5","3",0,0,"satisfied"
"Female","Loyal Customer",24,"Business travel","Business",2841,"4","5","5","5","4","3","4","4","1","1","4","4","3","4",0,0,"neutral or dissatisfied"
"Male","Loyal Customer",19,"Business travel","Business",643,"2","2","2","2","3","3","3","3","5","5","4","5","4","3",0,0,"satisfied"
"Male","disloyal Customer",21,"Business travel","Eco",594,"3","2","3","4","2","3","2","2","3","3","3","2","3","2",1,0,"neutral or dissatisfied"
"Male","Loyal Customer",58,"Business travel","Eco",717,"3","4","4","4","3","3","3","3","2","3","4","2","4","3",44,25,"neutral or dissatisfied"
"Male","Loyal Customer",46,"Personal Travel","Eco",216,"3","1","3","3","2","3","5","2","2","4","2","1","2","2",0,2,"neutral or dissatisfied"
"Male","Loyal Customer",37,"Business travel","Business",354,"2","5","5","5","4","3","3","2","2","2","2","1","2","4",1,4,"neutral or dissatisfied"
"Female","disloyal Customer",42,"Business travel","Eco",459,"3","0","3","2","4","3","4","4","3","5","2","4","4","4",0,5,"neutral or dissatisfied"
"Male","Loyal Customer",38,"Personal Travel","Eco",359,"2","4","2","4","2","2","2","2","3","5","5","3","4","2",0,0,"neutral or dissatisfied"
"Male","disloyal Customer",47,"Business travel","Business",1072,"1","1","1","2","4","1","4","4","1","4","3","3","2","4",6,13,"neutral or dissatisfied"
"Female","disloyal Customer",27,"Business travel","Business",1310,"0","0","0","1","1","0","1","1","5","4","4","5","4","1",2,0,"satisfied"
"Female","Loyal Customer",60,"Personal Travel","Eco Plus",867,"2","2","2","3","3","4","3","1","1","2","1","1","1","3",0,0,"neutral or dissatisfied"
"Female","Loyal Customer",59,"Business travel","Business",2599,"2","2","2","2","2","5","4","5","5","5","5","4","5","4",0,2,"satisfied"
"Male","disloyal Customer",33,"Business travel","Business",1747,"2","2","2","3","4","2","4","4","4","2","4","5","5","4",6,0,"neutral or dissatisfied"
"Female","Loyal Customer",51,"Business travel","Business",1598,"4","4","4","4","2","5","5","3","3","4","3","5","3","3",0,0,"satisfied"
"Female","disloyal Customer",40,"Personal Travel","Eco",488,"2","2","2","4","1","2","1","1","1","3","3","2","3","1",0,0,"neutral or dissatisfied"
"Female","Loyal Customer",50,"Business travel","Business",1725,"4","4","4","4","2","3","4","4","4","4","4","3","4","5",0,0,"satisfied"
"Female","Loyal Customer",42,"Business travel","Business",3162,"4","5","5","5","5","4","4","1","1","1","4","2","1","4",0,0,"neutral or dissatisfied"
"Male","Loyal Customer",39,"Business travel","Business",515,"3","3","3","3","5","5","4","5","5","5","5","3","5","4",1,0,"satisfied"
"Female","Loyal Customer",56,"Personal Travel","Eco",1506,"3","2","3","4","1","3","4","5","5","3","5","1","5","2",0,0,"neutral or dissatisfied"
"Female","Loyal Customer",18,"Personal Travel","Eco",1050,"3","5","4","1","3","4","3","3","5","3","4","4","5","3",0,36,"neutral or dissatisfied"
"Male","Loyal Customer",58,"Personal Travel","Eco",589,"4","1","4","4","4","4","4","4","1","3","4","2","4","4",29,17,"neutral or dissatisfied"
"Female","Loyal Customer",55,"Business travel","Eco",581,"4","5","3","5","2","2","2","4","4","4","4","3","4","4",0,0,"satisfied"
"Female","Loyal Customer",34,"Business travel","Business",2871,"3","3","3","3","3","4","4","3","3","3","3","3","3","3",1,23,"neutral or dissatisfied"
"Female","disloyal Customer",27,"Business travel","Business",957,"3","3","3","1","1","3","1","1","5","2","4","4","4","1",0,2,"neutral or dissatisfied"
"Male","Loyal Customer",46,"Business travel","Business",2082,"5","5","4","5","4","4","5","4","4","4","4","5","4","3",14,4,"satisfied"
"Female","Loyal Customer",43,"Business travel","Business",3603,"3","3","3","3","2","2","2","5","5","5","5","4","5","2",0,0,"satisfied"
"Male","Loyal Customer",30,"Personal Travel","Eco",602,"3","5","3","2","4","3","4","4","4","3","5","4","4","4",0,0,"neutral or dissatisfied"
"Male","Loyal Customer",55,"Business travel","Eco",2399,"3","4","4","4","3","3","3","3","3","4","1","3","3","3",22,2,"neutral or dissatisfied"
"Female","Loyal Customer",14,"Personal Travel","Eco",700,"2","1","2","4","5","2","5","5","1","2","4","3","4","5",5,1,"neutral or dissatisfied"
"Male","Loyal Customer",43,"Business travel","Business",581,"2","4","4","4","1","3","3","2","2","2","2","2","2","2",32,39,"neutral or dissatisfied"
"Male","disloyal Customer",50,"Business travel","Business",1079,"3","3","3","3","5","3","5","5","2","3","2","1","2","5",14,26,"neutral or dissatisfied"
"Female","Loyal Customer",9,"Personal Travel","Eco",1737,"0","5","1","3","5","1","5","5","3","2","4","4","1","5",7,0,"satisfied"
"Male","disloyal Customer",35,"Business travel","Eco",807,"2","2","2","3","5","2","1","5","4","1","4","4","2","5",80,57,"neutral or dissatisfied"
"Male","Loyal Customer",51,"Business travel","Business",3465,"1","1","3","1","3","4","5","1","1","2","1","4","1","4",0,0,"satisfied"
"Male","Loyal Customer",48,"Business travel","Eco",545,"2","2","1","2","2","2","2","2","3","4","4","4","4","2",0,0,"neutral or dissatisfied"
"Female","Loyal Customer",52,"Business travel","Eco",488,"2","1","1","1","4","3","4","2","2","2","2","2","2","1",0,0,"neutral or dissatisfied"
"Male","Loyal Customer",65,"Business travel","Eco Plus",226,"4","2","2","2","4","4","4","4","4","1","3","4","4","4",0,0,"neutral or dissatisfied"
"Female","Loyal Customer",51,"Business travel","Business",3790,"1","1","1","1","5","4","5","5","5","5","5","5","5","5",24,10,"satisfied"
"Female","Loyal Customer",41,"Business travel","Business",147,"1","1","1","1","1","5","3","4","4","4","4","5","4","3",0,0,"satisfied"
"Male","Loyal Customer",42,"Business travel","Eco",849,"3","3","3","3","2","3","2","2","4","4","2","3","2","2",38,31,"neutral or dissatisfied"
"Female","Loyal Customer",25,"Business travel","Business",834,"5","5","5","5","4","5","4","4","2","2","5","4","2","4",0,0,"satisfied"
"Female","Loyal Customer",36,"Business travel","Eco",116,"5","2","2","2","5","5","5","5","2","3","2","3","1","5",17,58,"satisfied"
"Male","Loyal Customer",18,"Personal Travel","Eco",163,"4","5","4","3","3","4","3","3","3","3","4","4","5","3",19,16,"neutral or dissatisfied"
"Female","Loyal Customer",42,"Personal Travel","Eco",137,"3","0","0","4","3","5","4","4","4","0","4","5","4","5",3,9,"neutral or dissatisfied"
"Female","Loyal Customer",11,"Personal Travel","Business",190,"3","3","3","3","3","3","3","3","1","3","2","3","2","3",17,5,"neutral or dissatisfied"
"Male","disloyal Customer",23,"Business travel","Business",689,"5","0","5","2","2","5","3","2","4","4","4","4","4","2",1,0,"satisfied"
"Male","Loyal Customer",30,"Business travel","Eco Plus",1182,"3","3","3","3","3","3","3","3","4","3","3","4","3","3",2,0,"neutral or dissatisfied"
"Male","Loyal Customer",50,"Business travel","Business",1751,"2","2","2","2","2","4","5","5","5","5","5","3","5","5",0,0,"satisfied"
"Female","Loyal Customer",49,"Business travel","Business",1504,"1","1","5","1","4","1","5","4","4","5","4","2","4","2",85,66,"satisfied"
"Male","Loyal Customer",23,"Personal Travel","Eco",1215,"2","2","2","4","2","3","3","3","5","3","4","3","4","3",175,180,"neutral or dissatisfied"
"Male","Loyal Customer",36,"Personal Travel","Eco",604,"2","3","2","3","3","2","3","3","4","3","3","1","4","3",38,26,"neutral or dissatisfied"
"Male","Loyal Customer",38,"Personal Travel","Business",2239,"1","4","1","3","3","4","4","3","3","1","1","4","3","3",60,37,"neutral or dissatisfied"
"Female","disloyal Customer",25,"Business travel","Business",277,"4","3","4","3","4","4","4","4","3","4","4","4","4","4",0,94,"neutral or dissatisfied"
"Male","Loyal Customer",50,"Business travel","Business",2248,"1","1","1","1","4","4","4","4","3","4","5","4","5","4",0,0,"satisfied"
"Male","disloyal Customer",38,"Business travel","Eco",925,"2","2","2","4","4","2","4","4","1","3","4","4","4","4",0,0,"neutral or dissatisfied"
"Female","Loyal Customer",29,"Personal Travel","Eco",577,"1","5","1","4","1","3","3","4","4","5","5","3","4","3",42,219,"neutral or dissatisfied"
"Female","Loyal Customer",61,"Personal Travel","Business",192,"3","2","3","4","2","3","4","2","2","3","2","1","2","3",0,0,"neutral or dissatisfied"
"Female","disloyal Customer",27,"Business travel","Eco",214,"3","5","3","3","4","3","4","4","1","1","5","1","5","4",0,0,"neutral or dissatisfied"
"Male","Loyal Customer",47,"Business travel","Business",1352,"3","3","3","3","2","5","4","4","4","4","4","4","4","3",0,0,"satisfied"
"Female","Loyal Customer",60,"Personal Travel","Eco Plus",997,"3","5","3","4","4","5","5","1","1","3","1","3","1","3",0,0,"neutral or dissatisfied"
